ampl.tab 2 1
ALL_PLACES	PLACES	travel
BstnPbG	NwEnCJH	0
BstnPbG	MFABstn	0
BstnPbG	FrtWrrn	0
BstnPbG	ThmpsnI	0
BstnPbG	EmrldNc	0
BstnPbG	HOME_NEU_END	0
SmlAdmB	HOME_NEU_START	0
SmlAdmB	FnwyPrk	0
SmlAdmB	MsmofFA	0
SmlAdmB	NrthEnd	0
SmlAdmB	JhFKPML	0
SmlAdmB	BstnPbG	0
SmlAdmB	SmlAdmB	0
SmlAdmB	BstnPbL	0
SmlAdmB	BackBay	0
SmlAdmB	NwEngHM	0
SmlAdmB	ArnldAr	0
SmlAdmB	BstnOpH	0
SmlAdmB	Mrrt_CH	0
SmlAdmB	ThBstnP	0
SmlAdmB	CmmnwAM	0
SmlAdmB	ThPOoEG	0
SmlAdmB	DwnstCH	0
SmlAdmB	BstnAth	0
SmlAdmB	EtDaMGH	0
SmlAdmB	BstnWnr	0
SmlAdmB	MtrplWM	0
SmlAdmB	BstnBll	0
SmlAdmB	PirsPrk	0
SmlAdmB	AnaHACM	0
SmlAdmB	ArlngSC	0
SmlAdmB	LttBIaL	0
SmlAdmB	NwEnCJH	0
SmlAdmB	MFABstn	0
SmlAdmB	FrtWrrn	0
SmlAdmB	ThmpsnI	0
SmlAdmB	EmrldNc	0
SmlAdmB	HOME_NEU_END	0
BstnPbL	HOME_NEU_START	0
BstnPbL	FnwyPrk	0
BstnPbL	MsmofFA	0
BstnPbL	NrthEnd	0
BstnPbL	JhFKPML	0
BstnPbL	BstnPbG	0
BstnPbL	SmlAdmB	0
BstnPbL	BstnPbL	0
BstnPbL	BackBay	0
BstnPbL	NwEngHM	0
BstnPbL	ArnldAr	0
BstnPbL	BstnOpH	0
BstnPbL	Mrrt_CH	0
BstnPbL	ThBstnP	0
BstnPbL	CmmnwAM	0
BstnPbL	ThPOoEG	0
BstnPbL	DwnstCH	0
BstnPbL	BstnAth	0
BstnPbL	EtDaMGH	0
BstnPbL	BstnWnr	0
BstnPbL	MtrplWM	0
BstnPbL	BstnBll	0
BstnPbL	PirsPrk	0
BstnPbL	AnaHACM	0
BstnPbL	ArlngSC	0
BstnPbL	LttBIaL	0
BstnPbL	NwEnCJH	0
BstnPbL	MFABstn	0
BstnPbL	FrtWrrn	0
BstnPbL	ThmpsnI	0
BstnPbL	EmrldNc	0
BstnPbL	HOME_NEU_END	0
BackBay	HOME_NEU_START	0
BackBay	FnwyPrk	0
BackBay	MsmofFA	0
BackBay	NrthEnd	0
BackBay	JhFKPML	0
BackBay	BstnPbG	0
BackBay	SmlAdmB	0
BackBay	BstnPbL	0
BackBay	BackBay	0
BackBay	NwEngHM	0
BackBay	ArnldAr	0
BackBay	BstnOpH	0
BackBay	Mrrt_CH	0
BackBay	ThBstnP	0
BackBay	CmmnwAM	0
BackBay	ThPOoEG	0
BackBay	DwnstCH	0
BackBay	BstnAth	0
BackBay	EtDaMGH	0
BackBay	BstnWnr	0
BackBay	MtrplWM	0
BackBay	BstnBll	0
BackBay	PirsPrk	0
BackBay	AnaHACM	0
BackBay	ArlngSC	0
BackBay	LttBIaL	0
BackBay	NwEnCJH	0
BackBay	MFABstn	0
BackBay	FrtWrrn	0
BackBay	ThmpsnI	0
BackBay	EmrldNc	0
BackBay	HOME_NEU_END	0
NwEngHM	HOME_NEU_START	0
NwEngHM	FnwyPrk	0
NwEngHM	MsmofFA	0
NwEngHM	NrthEnd	0
NwEngHM	JhFKPML	0
NwEngHM	BstnPbG	0
NwEngHM	SmlAdmB	0
NwEngHM	BstnPbL	0
NwEngHM	BackBay	0
NwEngHM	NwEngHM	0
NwEngHM	ArnldAr	0
NwEngHM	BstnOpH	0
NwEngHM	Mrrt_CH	0
NwEngHM	ThBstnP	0
NwEngHM	CmmnwAM	0
NwEngHM	ThPOoEG	0
NwEngHM	DwnstCH	0
NwEngHM	BstnAth	0
NwEngHM	EtDaMGH	0
NwEngHM	BstnWnr	0
NwEngHM	MtrplWM	0
NwEngHM	BstnBll	0
NwEngHM	PirsPrk	0
NwEngHM	AnaHACM	0
NwEngHM	ArlngSC	0
NwEngHM	LttBIaL	0
NwEngHM	NwEnCJH	0
NwEngHM	MFABstn	0
NwEngHM	FrtWrrn	0
NwEngHM	ThmpsnI	0
NwEngHM	EmrldNc	0
NwEngHM	HOME_NEU_END	0
ArnldAr	HOME_NEU_START	0
ArnldAr	FnwyPrk	0
ArnldAr	MsmofFA	0
ArnldAr	NrthEnd	0
ArnldAr	JhFKPML	0
ArnldAr	BstnPbG	0
ArnldAr	SmlAdmB	0
ArnldAr	BstnPbL	0
ArnldAr	BackBay	0
ArnldAr	NwEngHM	0
ArnldAr	ArnldAr	0
ArnldAr	BstnOpH	0
ArnldAr	Mrrt_CH	0
ArnldAr	ThBstnP	0
ArnldAr	CmmnwAM	0
ArnldAr	ThPOoEG	0
ArnldAr	DwnstCH	0
ArnldAr	BstnAth	0
ArnldAr	EtDaMGH	0
ArnldAr	BstnWnr	0
ArnldAr	MtrplWM	0
ArnldAr	BstnBll	0
ArnldAr	PirsPrk	0
ArnldAr	AnaHACM	0
ArnldAr	ArlngSC	0
ArnldAr	LttBIaL	0
ArnldAr	NwEnCJH	0
ArnldAr	MFABstn	0
ArnldAr	FrtWrrn	0
ArnldAr	ThmpsnI	0
ArnldAr	EmrldNc	0
ArnldAr	HOME_NEU_END	0
BstnOpH	HOME_NEU_START	0
BstnOpH	FnwyPrk	0
BstnOpH	MsmofFA	0
BstnOpH	NrthEnd	0
BstnOpH	JhFKPML	0
BstnOpH	BstnPbG	0
BstnOpH	SmlAdmB	0
BstnOpH	BstnPbL	0
BstnOpH	BackBay	0
BstnOpH	NwEngHM	0
BstnOpH	ArnldAr	0
BstnOpH	BstnOpH	0
BstnOpH	Mrrt_CH	0
BstnOpH	ThBstnP	0
BstnOpH	CmmnwAM	0
BstnOpH	ThPOoEG	0
BstnOpH	DwnstCH	0
BstnOpH	BstnAth	0
BstnOpH	EtDaMGH	0
BstnOpH	BstnWnr	0
BstnOpH	MtrplWM	0
BstnOpH	BstnBll	0
BstnOpH	PirsPrk	0
BstnOpH	AnaHACM	0
BstnOpH	ArlngSC	0
BstnOpH	LttBIaL	0
BstnOpH	NwEnCJH	0
BstnOpH	MFABstn	0
BstnOpH	FrtWrrn	0
BstnOpH	ThmpsnI	0
BstnOpH	EmrldNc	0
BstnOpH	HOME_NEU_END	0
Mrrt_CH	HOME_NEU_START	0
Mrrt_CH	FnwyPrk	0
Mrrt_CH	MsmofFA	0
Mrrt_CH	NrthEnd	0
Mrrt_CH	JhFKPML	0
Mrrt_CH	BstnPbG	0
Mrrt_CH	SmlAdmB	0
Mrrt_CH	BstnPbL	0
Mrrt_CH	BackBay	0
Mrrt_CH	NwEngHM	0
Mrrt_CH	ArnldAr	0
Mrrt_CH	BstnOpH	0
Mrrt_CH	Mrrt_CH	0
Mrrt_CH	ThBstnP	0
Mrrt_CH	CmmnwAM	0
Mrrt_CH	ThPOoEG	0
Mrrt_CH	DwnstCH	0
Mrrt_CH	BstnAth	0
Mrrt_CH	EtDaMGH	0
Mrrt_CH	BstnWnr	0
Mrrt_CH	MtrplWM	0
Mrrt_CH	BstnBll	0
Mrrt_CH	PirsPrk	0
Mrrt_CH	AnaHACM	0
Mrrt_CH	ArlngSC	0
Mrrt_CH	LttBIaL	0
Mrrt_CH	NwEnCJH	0
Mrrt_CH	MFABstn	0
Mrrt_CH	FrtWrrn	0
Mrrt_CH	ThmpsnI	0
Mrrt_CH	EmrldNc	0
Mrrt_CH	HOME_NEU_END	0
ThBstnP	HOME_NEU_START	0
ThBstnP	FnwyPrk	0
ThBstnP	MsmofFA	0
ThBstnP	NrthEnd	0
ThBstnP	JhFKPML	0
ThBstnP	BstnPbG	0
ThBstnP	SmlAdmB	0
